Comunidad,Fecha,Casos,IA14,Fallecidos,CasosDiarios,FallecidosDiarios
Comunidad Foral de Navarra,2020-06-10,5299,14.22,490,4,0
Comunidad Valenciana,2020-06-10,11361,3.92,1332,19,0
España,2020-06-10,242280,10.66,27136,314,0
Extremadura,2020-06-10,2982,2.15,508,4,0
Galicia,2020-06-10,9153,1,609,5,0
Islas Baleares,2020-06-10,2137,4.44,209,2,0
Islas Canarias,2020-06-10,2372,2.14,151,0,0
La Rioja,2020-06-10,4063,6,362,1,0
Melilla,2020-06-10,122,1.16,2,0,0
País Vasco,2020-06-10,13588,4.35,1424,33,0
Principado de Asturias,2020-06-10,2431,3.23,314,1,0
Región de Murcia,2020-06-10,1624,2.01,148,5,0
Andalucía,2020-06-11,12804,1.66,1404,4,0
Aragón,2020-06-11,5812,11.22,826,6,0
Cantabria,2020-06-11,2327,3.61,202,3,0
Castilla y León,2020-06-11,19254,20.88,1928,32,0
Castilla-La Mancha,2020-06-11,17702,22.14,2945,62,0
Cataluña,2020-06-11,59423,20.05,5587,125,0
Ceuta,2020-06-11,163,28.31,4,0,0
Comunidad de Madrid,2020-06-11,70051,21.84,8691,156,0
Comunidad Foral de Navarra,2020-06-11,5303,12.38,490,4,0
Comunidad Valenciana,2020-06-11,11381,3.98,1332,20,0
España,2020-06-11,242707,10.36,27136,427,0
Extremadura,2020-06-11,2983,1.97,508,1,0
Galicia,2020-06-11,9154,0.93,609,1,0
Islas Baleares,2020-06-11,2142,4.18,209,5,0
Islas Canarias,2020-06-11,2371,2,151,-1,0
La Rioja,2020-06-11,4063,6,362,0,0
Melilla,2020-06-11,122,1.16,2,0,0
País Vasco,2020-06-11,13595,4.48,1424,7,0
Principado de Asturias,2020-06-11,2431,3.13,314,0,0
Región de Murcia,2020-06-11,1626,1.87,148,2,0
Andalucía,2020-06-12,12814,1.63,1404,10,0
Aragón,2020-06-12,5833,11.22,826,21,0
Cantabria,2020-06-12,2327,3.44,202,0,0
Castilla y León,2020-06-12,19296,19.59,1928,42,0
Castilla-La Mancha,2020-06-12,17740,20.41,2945,38,0
Cataluña,2020-06-12,59593,19.04,5587,170,0
Ceuta,2020-06-12,163,21.23,4,0,0
Comunidad de Madrid,2020-06-12,70231,22.68,8691,180,0
Comunidad Foral de Navarra,2020-06-12,5308,10.85,490,5,0
Comunidad Valenciana,2020-06-12,11389,3.84,1332,8,0
España,2020-06-12,243209,10.1,27136,502,0
Extremadura,2020-06-12,2984,1.78,508,1,0
Galicia,2020-06-12,9157,0.96,609,3,0
Islas Baleares,2020-06-12,2146,3.74,209,4,0
Islas Canarias,2020-06-12,2374,1.81,151,3,0
La Rioja,2020-06-12,4066,5.68,362,3,0
Melilla,2020-06-12,122,1.16,2,0,0
País Vasco,2020-06-12,13603,4.44,1424,8,0
Principado de Asturias,2020-06-12,2435,3.32,314,4,0
Región de Murcia,2020-06-12,1628,1.87,148,2,0
Andalucía,2020-06-13,12823,1.58,1404,9,0
Aragón,2020-06-13,5836,10.54,826,3,0
Cantabria,2020-06-13,2332,3.79,202,5,0
Castilla y León,2020-06-13,19324,17.8,1928,28,0
Castilla-La Mancha,2020-06-13,17776,18.79,2945,36,0
Cataluña,2020-06-13,59706,17.3,5587,113,0
Ceuta,2020-06-13,163,21.23,4,0,0
Comunidad de Madrid,2020-06-13,70398,22.59,8691,167,0
Comunidad Foral de Navarra,2020-06-13,5311,9.94,490,3,0
Comunidad Valenciana,2020-06-13,11393,3.54,1332,4,0
España,2020-06-13,243605,9.52,27136,396,0
Extremadura,2020-06-13,2985,1.78,508,1,0
Galicia,2020-06-13,9158,0.85,609,1,0
Islas Baleares,2020-06-13,2152,3.83,209,6,0
Islas Canarias,2020-06-13,2377,1.49,151,3,0
La Rioja,2020-06-13,4067,5.05,362,1,0
Melilla,2020-06-13,123,2.31,2,1,0
País Vasco,2020-06-13,13616,4.71,1424,13,0
Principado de Asturias,2020-06-13,2437,1.56,314,2,0
Región de Murcia,2020-06-13,1628,1.67,148,0,0
Andalucía,2020-06-14,12827,1.47,1404,4,0
Aragón,2020-06-14,5840,10.01,826,4,0
Cantabria,2020-06-14,2334,3.79,202,2,0
Castilla y León,2020-06-14,19343,16.54,1928,19,0
Castilla-La Mancha,2020-06-14,17803,17.91,2945,27,0
Cataluña,2020-06-14,59820,17.56,5587,114,0
Ceuta,2020-06-14,163,21.23,4,0,0
Comunidad de Madrid,2020-06-14,70521,22.6,8691,123,0
Comunidad Foral de Navarra,2020-06-14,5311,8.87,490,0,0
Comunidad Valenciana,2020-06-14,11404,3.52,1332,11,0
España,2020-06-14,243928,9.43,27136,323,0
Extremadura,2020-06-14,2987,1.78,508,2,0
Galicia,2020-06-14,9159,0.81,609,1,0
Islas Baleares,2020-06-14,2154,4,209,2,0
Islas Canarias,2020-06-14,2378,1.44,151,1,0
La Rioja,2020-06-14,4068,5.37,362,1,0
Melilla,2020-06-14,124,3.47,2,1,0
País Vasco,2020-06-14,13626,5.03,1424,10,0
Principado de Asturias,2020-06-14,2437,1.37,314,0,0
Región de Murcia,2020-06-14,1629,1.74,148,1,0
Andalucía,2020-06-15,12830,1.39,1404,3,0
Aragón,2020-06-15,5842,9.93,826,2,0
Cantabria,2020-06-15,2334,3.79,202,0,0
Castilla y León,2020-06-15,19353,16.09,1928,10,0
Castilla-La Mancha,2020-06-15,17811,17.36,2945,8,0
Cataluña,2020-06-15,59897,18.19,5587,77,0
Ceuta,2020-06-15,163,20.05,4,0,0
Comunidad de Madrid,2020-06-15,70570,22.23,8691,49,0
Comunidad Foral de Navarra,2020-06-15,5311,8.1,490,0,0
Comunidad Valenciana,2020-06-15,11418,3.62,1332,14,0
España,2020-06-15,244109,9.44,27136,181,0
Extremadura,2020-06-15,2988,1.87,508,1,0
Galicia,2020-06-15,9160,0.85,609,1,0
Islas Baleares,2020-06-15,2157,4.09,209,3,0
Islas Canarias,2020-06-15,2378,1.39,151,0,0
La Rioja,2020-06-15,4069,5.68,362,1,0
Melilla,2020-06-15,124,3.47,2,0,0
País Vasco,2020-06-15,13638,5.57,1424,12,0
Principado de Asturias,2020-06-15,2437,1.17,314,0,0
Región de Murcia,2020-06-15,1629,1.74,148,0,0
Andalucía,2020-06-16,12835,1.22,1404,5,0
Aragón,2020-06-16,5845,9.55,826,3,0
Cantabria,2020-06-16,2336,3.79,202,2,0
Castilla y León,2020-06-16,19365,15.13,1928,12,0
Castilla-La Mancha,2020-06-16,17828,17.02,2945,17,0
Cataluña,2020-06-16,59944,18.08,5587,47,0
Ceuta,2020-06-16,163,9.44,4,0,0
Comunidad de Madrid,2020-06-16,70675,21.43,8691,105,0
Comunidad Foral de Navarra,2020-06-16,5312,8.1,490,1,0
Comunidad Valenciana,2020-06-16,11421,3.48,1332,3,0
España,2020-06-16,244328,9.18,27136,219,0
Extremadura,2020-06-16,2990,1.69,508,2,0
Galicia,2020-06-16,9161,0.89,609,1,0
Islas Baleares,2020-06-16,2163,4.35,209,6,0
Islas Canarias,2020-06-16,2382,1.35,151,4,0
La Rioja,2020-06-16,4069,5.37,362,0,0
Melilla,2020-06-16,124,2.31,2,0,0
País Vasco,2020-06-16,13648,5.75,1424,10,0
Principado de Asturias,2020-06-16,2438,1.27,314,1,0
Región de Murcia,2020-06-16,1629,1.61,148,0,0
Andalucía,2020-06-17,12839,1.08,1404,4,0
Aragón,2020-06-17,5850,8.34,826,5,0
Cantabria,2020-06-17,2338,3.79,202,2,0
Castilla y León,2020-06-17,19407,15.29,1928,42,0
Castilla-La Mancha,2020-06-17,17845,15.99,2945,17,0
Cataluña,2020-06-17,60030,17.72,5587,86,0
Ceuta,2020-06-17,163,8.26,4,0,0
Comunidad de Madrid,2020-06-17,70799,20.68,8691,124,0
Comunidad Foral de Navarra,2020-06-17,5359,8.71,490,47,0
Comunidad Valenciana,2020-06-17,11431,3.26,1332,10,0
España,2020-06-17,244683,8.87,27136,355,0
Extremadura,2020-06-17,2992,1.78,508,2,0
Galicia,2020-06-17,9164,0.89,609,3,0
Islas Baleares,2020-06-17,2165,3.91,209,2,0
Islas Canarias,2020-06-17,2382,1.16,151,0,0
La Rioja,2020-06-17,4070,5.37,362,1,0
Melilla,2020-06-17,124,2.31,2,0,0
País Vasco,2020-06-17,13658,5.8,1424,10,0
Principado de Asturias,2020-06-17,2436,1.08,314,-2,0
Región de Murcia,2020-06-17,1631,1.47,148,2,0
Andalucía,2020-06-18,12844,0.97,1404,5,0
Aragón,2020-06-18,5855,8.49,826,5,0
Cantabria,2020-06-18,2341,4.3,202,3,0
Castilla y León,2020-06-18,19434,14.21,1928,27,0
Castilla-La Mancha,2020-06-18,17894,14.86,2945,49,0
Cataluña,2020-06-18,60340,18.68,5587,310,0
Ceuta,2020-06-18,163,0,4,0,0
Comunidad de Madrid,2020-06-18,70934,19.54,8691,135,0
Comunidad Foral de Navarra,2020-06-18,5364,8.87,490,5,0
Comunidad Valenciana,2020-06-18,11441,3.24,1332,10,0
España,2020-06-18,245268,8.77,27136,585,0
Extremadura,2020-06-18,2999,2.44,508,7,0
Galicia,2020-06-18,9164,0.85,609,0,0
Islas Baleares,2020-06-18,2167,3.74,209,2,0
Islas Canarias,2020-06-18,2398,1.67,151,16,0
La Rioja,2020-06-18,4070,5.05,362,0,0
Melilla,2020-06-18,124,2.31,2,0,0
País Vasco,2020-06-18,13670,6.11,1424,12,0
Principado de Asturias,2020-06-18,2435,0.98,314,-1,0
Región de Murcia,2020-06-18,1631,1.07,148,0,0
Andalucía,2020-06-19,12864,1.08,1426,20,22
Aragón,2020-06-19,5880,8.72,911,25,85
Cantabria,2020-06-19,2342,3.79,216,1,14
Castilla y León,2020-06-19,19466,14.09,2775,32,847
Castilla-La Mancha,2020-06-19,17894,12.79,3022,0,77
Cataluña,2020-06-19,60450,17.98,5662,110,75
Ceuta,2020-06-19,163,0,4,0,0
Comunidad de Madrid,2020-06-19,71007,18.52,8416,73,-275
Comunidad Foral de Navarra,2020-06-19,5370,8.41,528,6,38
Comunidad Valenciana,2020-06-19,11451,3.06,1430,10,98
España,2020-06-19,245575,8.44,28315,307,1179
Extremadura,2020-06-19,3000,2.25,519,1,11
Galicia,2020-06-19,9169,0.93,619,5,10
Islas Baleares,2020-06-19,2169,3.57,224,2,15
Islas Canarias,2020-06-19,2402,1.81,162,4,11
La Rioja,2020-06-19,4072,4.73,365,2,3
Melilla,2020-06-19,124,2.31,2,0,0
País Vasco,2020-06-19,13679,6.43,1554,9,130
Principado de Asturias,2020-06-19,2435,0.98,333,0,19
Región de Murcia,2020-06-19,1638,1.41,147,7,-1
Andalucía,2020-06-20,12875,1.06,1426,11,0
Aragón,2020-06-20,5898,9.02,911,18,0
Cantabria,2020-06-20,2342,3.61,216,0,0
Castilla y León,2020-06-20,19485,12.17,2776,19,1
Castilla-La Mancha,2020-06-20,17940,12.74,3022,46,0
Cataluña,2020-06-20,60530,15.66,5666,80,4
Ceuta,2020-06-20,163,0,4,0,0
Comunidad de Madrid,2020-06-20,71144,18.08,8416,137,0
Comunidad Foral de Navarra,2020-06-20,5378,8.1,528,8,0
Comunidad Valenciana,2020-06-20,11476,3.1,1431,25,1
España,2020-06-20,245938,7.9,28322,363,7
Extremadura,2020-06-20,3001,2.25,519,1,0
Galicia,2020-06-20,9167,0.78,619,-2,0
Islas Baleares,2020-06-20,2174,3.65,224,5,0
Islas Canarias,2020-06-20,2402,1.76,162,0,0
La Rioja,2020-06-20,4073,5.05,365,1,0
Melilla,2020-06-20,124,2.31,2,0,0
País Vasco,2020-06-20,13693,6.75,1555,14,1
Principado de Asturias,2020-06-20,2435,0.78,333,0,0
Región de Murcia,2020-06-20,1638,1.27,147,0,0
Andalucía,2020-06-21,12884,1.07,1426,9,0
Aragón,2020-06-21,5931,10.69,911,33,0
Cantabria,2020-06-21,2344,3.96,216,2,0
Castilla y León,2020-06-21,19499,12.13,2777,14,1
Castilla-La Mancha,2020-06-21,17965,12.99,3022,25,0
Cataluña,2020-06-21,60645,16.19,5666,115,0
Ceuta,2020-06-21,163,0,4,0,0
Comunidad de Madrid,2020-06-21,71223,18.08,8416,79,0
Comunidad Foral de Navarra,2020-06-21,5381,8.1,528,3,0
Comunidad Valenciana,2020-06-21,11479,2.84,1431,3,0
España,2020-06-21,246272,8.08,28323,334,1
Extremadura,2020-06-21,3006,2.72,519,5,0
Galicia,2020-06-21,9174,1.04,619,7,0
Islas Baleares,2020-06-21,2179,3.83,224,5,0
Islas Canarias,2020-06-21,2414,2.09,162,12,0
La Rioja,2020-06-21,4073,3.79,365,0,0
Melilla,2020-06-21,124,2.31,2,0,0
País Vasco,2020-06-21,13708,7.11,1555,15,0
Principado de Asturias,2020-06-21,2435,0.68,333,0,0
Región de Murcia,2020-06-21,1645,1.67,147,7,0
Andalucía,2020-06-22,12892,1.13,1426,8,0
Aragón,2020-06-22,5964,12.81,911,33,0
Cantabria,2020-06-22,2344,3.61,216,0,0
Castilla y León,2020-06-22,19516,12.34,2778,17,1
Castilla-La Mancha,2020-06-22,17987,13.53,3022,22,0
Cataluña,2020-06-22,60714,16.55,5666,69,0
Ceuta,2020-06-22,163,0,4,0,0
Comunidad de Madrid,2020-06-22,71248,18.13,8416,25,0
Comunidad Foral de Navarra,2020-06-22,5402,10.39,528,21,0
Comunidad Valenciana,2020-06-22,11486,2.74,1431,7,0
España,2020-06-22,246504,8.3,28324,232,1
Extremadura,2020-06-22,3010,3.09,519,4,0
Galicia,2020-06-22,9174,1,619,0,0
Islas Baleares,2020-06-22,2187,4.52,224,8,0
Islas Canarias,2020-06-22,2414,2.04,162,0,0
La Rioja,2020-06-22,4073,3.47,365,0,0
Melilla,2020-06-22,127,5.78,2,3,0
País Vasco,2020-06-22,13715,7.07,1555,7,0
Principado de Asturias,2020-06-22,2435,0.49,333,0,0
Región de Murcia,2020-06-22,1653,2.14,147,8,0
Andalucía,2020-06-23,12895,1.11,1426,3,0
Aragón,2020-06-23,6011,15.84,911,47,0
Cantabria,2020-06-23,2344,3.44,216,0,0
Castilla y León,2020-06-23,19527,11.42,2779,11,1
Castilla-La Mancha,2020-06-23,17987,11.71,3022,0,0
Cataluña,2020-06-23,60754,15.93,5666,40,0
Ceuta,2020-06-23,163,0,4,0,0
Comunidad de Madrid,2020-06-23,71359,17.75,8416,111,0
Comunidad Foral de Navarra,2020-06-23,5415,12.23,528,13,0
Comunidad Valenciana,2020-06-23,11494,2.84,1431,8,0
España,2020-06-23,246752,8.1,28325,248,1
Extremadura,2020-06-23,3011,3.09,519,1,0
Galicia,2020-06-23,9175,0.93,619,1,0
Islas Baleares,2020-06-23,2188,4.35,224,1,0
Islas Canarias,2020-06-23,2415,2.04,162,1,0
La Rioja,2020-06-23,4073,3.47,365,0,0
Melilla,2020-06-23,126,4.62,2,-1,0
País Vasco,2020-06-23,13727,6.79,1555,12,0
Principado de Asturias,2020-06-23,2435,0.39,333,0,0
Región de Murcia,2020-06-23,1653,1.87,147,0,0
Andalucía,2020-06-24,12917,1.26,1426,22,0
Aragón,2020-06-24,6060,18.42,911,49,0
Cantabria,2020-06-24,2351,4.65,216,7,0
Castilla y León,2020-06-24,19563,11.42,2780,36,1
Castilla-La Mancha,2020-06-24,17987,9.79,3022,0,0
Cataluña,2020-06-24,60847,15.35,5666,93,0
Ceuta,2020-06-24,164,1.18,4,1,0
Comunidad de Madrid,2020-06-24,71434,16.99,8416,75,0
Comunidad Foral de Navarra,2020-06-24,5426,13.15,528,11,0
Comunidad Valenciana,2020-06-24,11501,2.62,1432,7,1
España,2020-06-24,247086,7.93,28327,334,2
Extremadura,2020-06-24,3017,3.28,519,6,0
Galicia,2020-06-24,9178,0.89,619,3,0
Islas Baleares,2020-06-24,2189,4.35,224,1,0
Islas Canarias,2020-06-24,2421,2.32,162,6,0
La Rioja,2020-06-24,4073,3.16,365,0,0
Melilla,2020-06-24,126,4.62,2,0,0
País Vasco,2020-06-24,13742,6.75,1555,15,0
Principado de Asturias,2020-06-24,2435,0.39,333,0,0
Región de Murcia,2020-06-24,1655,1.87,147,2,0
Andalucía,2020-06-25,12957,1.66,1426,40,0
Aragón,2020-06-25,6112,21.83,911,52,0
Cantabria,2020-06-25,2351,4.13,216,0,0
Castilla y León,2020-06-25,19585,11.04,2783,22,3
Castilla-La Mancha,2020-06-25,18021,8.17,3020,34,-2
Cataluña,2020-06-25,60927,14.11,5666,80,0
Ceuta,2020-06-25,163,0,4,-1,0
Comunidad de Madrid,2020-06-25,71579,16.72,8417,145,1
Comunidad Foral de Navarra,2020-06-25,5426,12.53,528,0,0
Comunidad Valenciana,2020-06-25,11509,2.5,1432,8,0
España,2020-06-25,247486,7.74,28330,400,3
Extremadura,2020-06-25,3019,3.37,519,2,0
Galicia,2020-06-25,9186,1.15,619,8,0
Islas Baleares,2020-06-25,2191,4.18,224,2,0
Islas Canarias,2020-06-25,2423,2.32,162,2,0
La Rioja,2020-06-25,4074,3.47,365,1,0
Melilla,2020-06-25,126,4.62,2,0,0
País Vasco,2020-06-25,13745,6.39,1555,3,0
Principado de Asturias,2020-06-25,2435,0.39,334,0,1
Región de Murcia,2020-06-25,1657,1.94,147,2,0
Andalucía,2020-06-26,12984,1.9,1426,27,0
Aragón,2020-06-26,6228,27.51,912,116,1
Cantabria,2020-06-26,2351,3.61,216,0,0
Castilla y León,2020-06-26,19607,10.88,2783,22,0
Castilla-La Mancha,2020-06-26,18024,8.31,3024,3,4
Cataluña,2020-06-26,61073,14.19,5668,146,2
Ceuta,2020-06-26,163,0,4,0,0
Comunidad de Madrid,2020-06-26,71632,15.73,8418,53,1
Comunidad Foral de Navarra,2020-06-26,5442,14.37,528,16,0
Comunidad Valenciana,2020-06-26,11512,2.24,1432,3,0
España,2020-06-26,247905,7.81,28338,419,8
Extremadura,2020-06-26,3025,3.75,519,6,0
Galicia,2020-06-26,9193,1.33,619,7,0
Islas Baleares,2020-06-26,2194,3.91,224,3,0
Islas Canarias,2020-06-26,2426,2.41,162,3,0
La Rioja,2020-06-26,4076,3.16,365,2,0
Melilla,2020-06-26,126,4.62,2,0,0
País Vasco,2020-06-26,13756,6.34,1555,11,0
Principado de Asturias,2020-06-26,2435,0,334,0,0
Región de Murcia,2020-06-26,1658,1.94,147,1,0
Andalucía,2020-06-27,13027,2.34,1426,43,0
Aragón,2020-06-27,6255,29.33,912,27,0
Cantabria,2020-06-27,2351,3.27,216,0,0
Castilla y León,2020-06-27,19634,10.88,2783,27,0
Castilla-La Mancha,2020-06-27,18076,10.28,3024,52,0
Cataluña,2020-06-27,61229,14.07,5668,156,0
Ceuta,2020-06-27,163,0,4,0,0
Comunidad de Madrid,2020-06-27,71839,14.78,8420,207,2
Comunidad Foral de Navarra,2020-06-27,5450,15.13,528,8,0
Comunidad Valenciana,2020-06-27,11531,2.24,1432,19,0
España,2020-06-27,248469,7.86,28341,564,3
Extremadura,2020-06-27,3026,3.75,519,1,0
Galicia,2020-06-27,9199,1.52,619,6,0
Islas Baleares,2020-06-27,2201,3.83,224,7,0
Islas Canarias,2020-06-27,2427,2.28,162,1,0
La Rioja,2020-06-27,4076,2.84,366,0,1
Melilla,2020-06-27,126,3.47,2,0,0
País Vasco,2020-06-27,13766,5.98,1555,10,0
Principado de Asturias,2020-06-27,2435,0,334,0,0
Región de Murcia,2020-06-27,1658,1.94,147,0,0
Andalucía,2020-06-28,13045,2.5,1426,18,0
Aragón,2020-06-28,6304,32.52,912,49,0
Cantabria,2020-06-28,2362,4.82,216,11,0
Castilla y León,2020-06-28,19634,10.42,2783,0,0
Castilla-La Mancha,2020-06-28,18094,9.94,3024,18,0
Cataluña,2020-06-28,61355,15.26,5669,126,1
Ceuta,2020-06-28,163,0,4,0,0
Comunidad de Madrid,2020-06-28,71881,15.19,8421,42,1
Comunidad Foral de Navarra,2020-06-28,5459,16.51,528,9,0
Comunidad Valenciana,2020-06-28,11537,2.18,1432,6,0
España,2020-06-28,248770,8.23,28343,301,2
Extremadura,2020-06-28,3026,3.56,519,0,0
Galicia,2020-06-28,9202,1.59,619,3,0
Islas Baleares,2020-06-28,2205,4,224,4,0
Islas Canarias,2020-06-28,2427,2.18,162,0,0
La Rioja,2020-06-28,4076,2.53,366,0,0
Melilla,2020-06-28,126,2.31,2,0,0
País Vasco,2020-06-28,13767,5.62,1555,1,0
Principado de Asturias,2020-06-28,2435,0,334,0,0
Región de Murcia,2020-06-28,1672,2.81,147,14,0
Andalucía,2020-06-29,13080,2.9,1426,35,0
Aragón,2020-06-29,6319,33.43,912,15,0
Cantabria,2020-06-29,2362,4.82,216,0,0
Castilla y León,2020-06-29,19665,11.5,2784,31,1
Castilla-La Mancha,2020-06-29,18120,10.77,3025,26,1
Cataluña,2020-06-29,61417,15.65,5669,62,0
Ceuta,2020-06-29,163,0,4,0,0
Comunidad de Madrid,2020-06-29,71885,15.01,8421,4,0
Comunidad Foral de Navarra,2020-06-29,5463,17.12,528,4,0
Comunidad Valenciana,2020-06-29,11541,2.2,1432,4,0
España,2020-06-29,248970,8.47,28346,200,3
Extremadura,2020-06-29,3027,3.65,519,1,0
Galicia,2020-06-29,9206,1.78,619,4,0
Islas Baleares,2020-06-29,2206,3.74,224,1,0
Islas Canarias,2020-06-29,2427,2.14,162,0,0
La Rioja,2020-06-29,4076,2.21,366,0,0
Melilla,2020-06-29,126,2.31,2,0,0
País Vasco,2020-06-29,13772,5.39,1556,5,1
Principado de Asturias,2020-06-29,2435,0,334,0,0
Región de Murcia,2020-06-29,1680,3.35,147,8,0
Andalucía,2020-06-30,13102,3.14,1427,22,1
Aragón,2020-06-30,6330,34.11,912,11,0
Cantabria,2020-06-30,2362,4.47,216,0,0
Castilla y León,2020-06-30,19685,11.21,2784,20,0
Castilla-La Mancha,2020-06-30,18158,11.31,3026,38,1
Cataluña,2020-06-30,61494,15.61,5670,77,1
Ceuta,2020-06-30,163,0,4,0,0
Comunidad de Madrid,2020-06-30,71950,14.12,8425,65,4
Comunidad Foral de Navarra,2020-06-30,5463,16.97,528,0,0
Comunidad Valenciana,2020-06-30,11579,2.86,1432,38,0
España,2020-06-30,249271,8.5,28355,301,9
Extremadura,2020-06-30,3030,3.75,519,3,0
Galicia,2020-06-30,9215,2.04,619,9,0
Islas Baleares,2020-06-30,2209,4,224,3,0
Islas Canarias,2020-06-30,2427,2.09,162,0,0
La Rioja,2020-06-30,4076,2.21,366,0,0
Melilla,2020-06-30,126,2.31,2,0,0
País Vasco,2020-06-30,13783,5.39,1558,11,2
Principado de Asturias,2020-06-30,2435,0,334,0,0
Región de Murcia,2020-06-30,1684,3.55,147,4,0
Andalucía,2020-07-01,13139,3.53,1428,37,1
Aragón,2020-07-01,6353,35.47,912,23,0
Cantabria,2020-07-01,2363,4.3,216,1,0
Castilla y León,2020-07-01,19730,10,2787,45,3
Castilla-La Mancha,2020-07-01,18160,9.99,3026,2,0
Cataluña,2020-07-01,61639,15.92,5671,145,1
Ceuta,2020-07-01,163,0,4,0,0
Comunidad de Madrid,2020-07-01,72033,13.31,8426,83,1
Comunidad Foral de Navarra,2020-07-01,5468,16.81,528,5,0
Comunidad Valenciana,2020-07-01,11588,2.88,1432,9,0
España,2020-07-01,249659,8.47,28363,388,8
Extremadura,2020-07-01,3033,3.93,519,3,0
Galicia,2020-07-01,9222,2.26,619,7,0
Islas Baleares,2020-07-01,2216,4.61,224,7,0
Islas Canarias,2020-07-01,2432,2.23,162,5,0
La Rioja,2020-07-01,4077,2.21,366,1,0
Melilla,2020-07-01,126,2.31,2,0,0
País Vasco,2020-07-01,13792,5.39,1560,9,2
Principado de Asturias,2020-07-01,2435,0,334,0,0
Región de Murcia,2020-07-01,1690,3.82,147,6,0
Andalucía,2020-07-02,13123,3.62,1428,-16,0
Aragón,2020-07-02,6380,37.14,912,27,0
Cantabria,2020-07-02,2364,3.96,216,1,0
Castilla y León,2020-07-02,19750,9.75,2787,20,0
Castilla-La Mancha,2020-07-02,18187,10.23,3026,27,0
Cataluña,2020-07-02,61888,17.93,5673,249,2
Ceuta,2020-07-02,163,0,4,0,0
Comunidad de Madrid,2020-07-02,72096,12.35,8428,63,2
Comunidad Foral de Navarra,2020-07-02,5476,17.27,528,8,0
Comunidad Valenciana,2020-07-02,11616,3.08,1432,28,0
España,2020-07-02,250103,8.74,28368,444,5
Extremadura,2020-07-02,3040,3.93,519,7,0
Galicia,2020-07-02,9239,2.82,619,17,0
Islas Baleares,2020-07-02,2220,4.7,224,4,0
Islas Canarias,2020-07-02,2431,1.53,162,-1,0
La Rioja,2020-07-02,4078,2.53,366,1,0
Melilla,2020-07-02,126,2.31,2,0,0
País Vasco,2020-07-02,13798,5.16,1560,6,0
Principado de Asturias,2020-07-02,2435,0,334,0,0
Región de Murcia,2020-07-02,1693,3.82,148,3,1
Andalucía,2020-07-03,13205,3.57,1433,82,5
Aragón,2020-07-03,6412,37.52,912,32,0
Cantabria,2020-07-03,2364,3.79,216,0,0
Castilla y León,2020-07-03,19753,9.38,2787,3,0
Castilla-La Mancha,2020-07-03,18209,10.67,3026,22,0
Cataluña,2020-07-03,62057,18.62,5673,169,0
Ceuta,2020-07-03,163,0,4,0,0
Comunidad de Madrid,2020-07-03,72168,11.65,8439,72,11
Comunidad Foral de Navarra,2020-07-03,5477,16.36,528,1,0
Comunidad Valenciana,2020-07-03,11630,2.96,1432,14,0
España,2020-07-03,250545,8.76,28385,442,17
Extremadura,2020-07-03,3047,4.5,519,7,0
Galicia,2020-07-03,9251,3.19,619,12,0
Islas Baleares,2020-07-03,2228,4.96,224,8,0
Islas Canarias,2020-07-03,2436,1.58,162,5,0
La Rioja,2020-07-03,4078,1.89,366,0,0
Melilla,2020-07-03,126,2.31,2,0,0
País Vasco,2020-07-03,13809,5.07,1561,11,1
Principado de Asturias,2020-07-03,2435,0,334,0,0
Región de Murcia,2020-07-03,1697,3.75,148,4,0
Andalucía,2020-07-06,13259,3.91,1433,54,0
Aragón,2020-07-06,6495,37.22,913,83,1
Cantabria,2020-07-06,2368,3.27,216,4,0
Castilla y León,2020-07-06,19770,8.42,2787,17,0
Castilla-La Mancha,2020-07-06,18273,10.63,3027,64,1
Cataluña,2020-07-06,62797,25.64,5674,740,1
Ceuta,2020-07-06,163,0,4,0,0
Comunidad de Madrid,2020-07-06,72269,10.58,8439,101,0
Comunidad Foral de Navarra,2020-07-06,5483,12.38,528,6,0
Comunidad Valenciana,2020-07-06,11666,3.18,1432,36,0
España,2020-07-06,251789,9.82,28388,1244,3
Extremadura,2020-07-06,3064,5.06,519,17,0
Galicia,2020-07-06,9330,5.85,619,79,0
Islas Baleares,2020-07-06,2238,4.44,224,10,0
Islas Canarias,2020-07-06,2441,1.16,162,5,0
La Rioja,2020-07-06,4078,1.58,366,0,0
Melilla,2020-07-06,126,0,2,0,0
País Vasco,2020-07-06,13828,4.62,1561,19,0
Principado de Asturias,2020-07-06,2435,0,334,0,0
Región de Murcia,2020-07-06,1706,3.55,148,9,0
Andalucía,2020-07-07,13275,4.08,1433,16,0
Aragón,2020-07-07,6519,35.47,913,24,0
Cantabria,2020-07-07,2368,3.27,216,0,0
Castilla y León,2020-07-07,19773,7.71,2788,3,1
Castilla-La Mancha,2020-07-07,18291,11.46,3028,18,1
Cataluña,2020-07-07,62943,26.4,5675,146,1
Ceuta,2020-07-07,163,0,4,0,0
Comunidad de Madrid,2020-07-07,72336,10.69,8440,67,1
Comunidad Foral de Navarra,2020-07-07,5486,10.85,528,3,0
Comunidad Valenciana,2020-07-07,11685,3.36,1432,19,0
España,2020-07-07,252130,10.01,28392,341,4
Extremadura,2020-07-07,3066,5.15,519,2,0
Galicia,2020-07-07,9336,6.08,619,6,0
Islas Baleares,2020-07-07,2239,4.52,224,1,0
Islas Canarias,2020-07-07,2443,1.25,162,2,0
